"","supplier","SICCode.SicText_1"
"46827","LONDON RESIDENTIAL HEALTHCARE LTD TOTAL MARIA MALLABAND CARE GROUP","41100 - Development of building projects"
"46923","HARROW CARERS","88990 - Other social work activities without accommodation n.e.c."
"46924","COLVILLE CARE LTD","87100 - Residential nursing care facilities"
"46957","CARE MANCHESTER","86101 - Hospital activities"
"46958","BURNLEY PENDLE & ROSSENDALE COUNCIL FOR VOLUNTARY SERVICE","94990 - Activities of other membership organizations n.e.c."
"46959","COUNCIL FOR VOLUNTARY SERVICE","94990 - Activities of other membership organizations n.e.c."
"46970","NORTHAMPTONSHIRE CARERS","88100 - Social work activities without accommodation for the elderly and disabled"
"46981","TAMARIS HEALTHCARE ENGLAND LTD","86900 - Other human health activities"
"47003","WINSTONS WISH","88990 - Other social work activities without accommodation n.e.c."
"47016","MNS CARE PLC","87100 - Residential nursing care facilities"
"47017","PHOENIX ITCONTINUITY & RESILIENCE SERV","98000 - Residents property management"
"47019","CATARACT CENTRE","86900 - Other human health activities"
"47048","COMMUNITY ACTION ISLE OF WIGHT","82990 - Other business support service activities n.e.c."
"47049","RAINSFORD CONTRACTS LTD","43320 - Joinery installation"
"47053","OPTIONS FOR LIFE","88990 - Other social work activities without accommodation n.e.c."
"47106","GLADMAN DEVELOPMENTS LTD","68100 - Buying and selling of own real estate"
"47107","PCTI SOLUTIONS LTD","62012 - Business and domestic software development"
"47158","PCTIAA SOLUTIONSAA LTD","62012 - Business and domestic software development"
"47183","GRANBY SOMALI WOMENS GROUP","82990 - Other business support service activities n.e.c."
"47184","PARK HOMES UK LTD","82990 - Other business support service activities n.e.c."
"47266","STANDWALK","86900 - Other human health activities"
"47298","AGE CONCERN ENFIELD","96090 - Other service activities n.e.c."
"47301","BATES OFFICE SERVICES LTD","46900 - Non-specialised wholesale trade"
"47302","BIRMINGHAM FOCUS","87300 - Residential care activities for the elderly and disabled"
"47303","SUTTON CARERS CENTRE","88990 - Other social work activities without accommodation n.e.c."
"47305","KINGSFIELD COMPUTER PRODUCTS LTD","47410 - Retail sale of computers, peripheral units and software in specialised stores"
"47306","YOUNG SOMERSET","85590 - Other education n.e.c."
"47308","LEEDS RUGBY FOUNDATION","85510 - Sports and recreation education"
"47309","ADARA HEALTHCARE LTD","87300 - Residential care activities for the elderly and disabled"
"47314","CROSSROADS IN EAST LANCASHIRE LTD","88990 - Other social work activities without accommodation n.e.c."
"47320","SOUTHSIDE FAMILY PROJECT","88990 - Other social work activities without accommodation n.e.c."
"47321","LONG & PARTNERS","70100 - Activities of head offices"
"47364","DDEAFLINKS STAFFORDSHIRE","82990 - Other business support service activities n.e.c."
"47366","WEBSTAR HEALTH LTD","63990 - Other information service activities n.e.c."
"47367","COLCHESTER MIND","86900 - Other human health activities"
"47368","MID & NORTH ESSEX MIND","86900 - Other human health activities"
"47376","NEW CENTURY CARE LTD","82110 - Combined office administrative service activities"
"47378","NEW CENTURY CARE (COL) LTD","82110 - Combined office administrative service activities"
"47379","NEW CENTURY CARE LTD TOTAL NHS GUILDFORD AND WAVERLEY CCG","82110 - Combined office administrative service activities"
"47383","PREMIER PHYSICAL HEALTHCARE LTD","86900 - Other human health activities"
"47411","TRADEBE HEALTHCARE LTD","38220 - Treatment and disposal of hazardous waste"
"47422","WEST LANCASHIRE CRISIS & INFORMATION CENTRE","87900 - Other residential care activities n.e.c."
"47423","ROMAX","18129 - Printing n.e.c."
"47425","LAW ABROAD PLC","69102 - Solicitors"
"47426","CHRISTCHURCH COURT LTD","86900 - Other human health activities"
"47439","QUEEN ALEXANDRA COLLEGE","85320 - Technical and vocational secondary education"
"47440","ROSEMARY FOUNDATION LTD","86900 - Other human health activities"
"47441","ST CLARE HOSPICE TRUST","86900 - Other human health activities"
"47468","MOSAIC CLUBHOUSE","86900 - Other human health activities"
"47469","AUTISM ANGLIA","85200 - Primary education"
"47471","PATHWAYS CARE GROUP LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"47476","ADEPT TELECOM PLC","61100 - Wired telecommunications activities"
"47477","CITY BUILD MANCHESTER LTD","41201 - Construction of commercial buildings"
"47482","WHAT CENTRE LTD","86900 - Other human health activities"
"47493","INDEPENDENCE HOMES LTD","86900 - Other human health activities"
"47496","JOHN STANLEYS CARE AGENCY LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"47497","BLACKBURN & DISTRICT SUPPORTED HOUSING LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"47500","SUNRISE SENIOR LIVING OF WESTBOURNE","68320 - Management of real estate on a fee or contract basis"
"47501","SUNRISE SENIOR LIVING EASTBOURNE","68320 - Management of real estate on a fee or contract basis"
"47518","SUNRISE SENIOR LIVING","68320 - Management of real estate on a fee or contract basis"
"47527","SUNRISE SENIOR LIVING LTD","68320 - Management of real estate on a fee or contract basis"
"47582","KIMBOLTON LODGE LTD","87300 - Residential care activities for the elderly and disabled"
"47589","MANOR & CASTLE DEVELOPMENT TRUST LTD","68320 - Management of real estate on a fee or contract basis"
"47591","PRIME GP PLC","68320 - Management of real estate on a fee or contract basis"
"47592","INNOVATIONS WILTSHIRE LTD","82990 - Other business support service activities n.e.c."
"47593","VOLUNTARY CENTRE SERVICES","82990 - Other business support service activities n.e.c."
"47598","DIAMOND BUSINESS INTERIORS LTD","46650 - Wholesale of office furniture"
"47603","TOTALWEST LTD","87100 - Residential nursing care facilities"
"47604","WEST VILLA RESIDENTIAL HOME LTD","87100 - Residential nursing care facilities"
"47605","DUKERIES HEALTHCARE LTD","87900 - Other residential care activities n.e.c."
"47606","ALLIANCE HEALTHCARE DISTRIBUTION LTD","46460 - Wholesale of pharmaceutical goods"
"47607","ADVINIA HEALTH CARE LTD","86900 - Other human health activities"
"47672","CAMBIAN AUTISM SERVICES LTD","85590 - Other education n.e.c."
"47730","HOPSCOTCH SOLUTIONS LTD","85320 - Technical and vocational secondary education"
"47732","BENENDEN HOSPITAL TRUST","86101 - Hospital activities"
"48040","AGE UK NOTTINGHAM & NOTTINGHAMSHIRE","82110 - Combined office administrative service activities"
"48054","INTERMEDICAL UK LTD","46460 - Wholesale of pharmaceutical goods"
"48055","UTTLESFORD COMMUNITY TRAVEL","49390 - Other passenger land transport"
"48059","CRISTIE DATA LTD","62020 - Information technology consultancy activities"
"48060","CARE UK CLINICAL SERVICES LTD","86900 - Other human health activities"
"49394","CARE UK CLINICAL SERVICES LTD TOTAL CARE UK CLINICAL SERVICES LTD","86900 - Other human health activities"
"50875","ASHFORD & DISTRICT VOLUNTEER BUREAU","82110 - Combined office administrative service activities"
"50877","NVISAGE LTD","62012 - Business and domestic software development"
"50878","JULIAS HOUSE LTD","86900 - Other human health activities"
"50880","JULIA`S HOUSE LTD","86900 - Other human health activities"
"50894","DESIGN BURO (COVENTRY) LTD","71111 - Architectural activities"
"50896","NEW CENTURY CARE (HASTINGS LTD)","74990 - Non-trading company"
"50897","NEW CENTURY CARE (ST LEONARDS) LTD","74990 - Non-trading company"
"50898","SERVOL COMMUNITY TRUST","55900 - Other accommodation"
"50900","ASPEN HEALTHCARE","86101 - Hospital activities"
"50908","ASPEN HEALTHCARE LTD","86101 - Hospital activities"
"50923","MSOFT ESOLUTIONS LTD","62090 - Other information technology service activities"
"50924","LUMIRADX CARE SOLUTIONS UK LTD","62012 - Business and domestic software development"
"50940","LAURELS CARE CENTRE LTD (THE)","87300 - Residential care activities for the elderly and disabled"
"50941","MOOR PARK HOUSE LTD","86900 - Other human health activities"
"50952","SILVER HEALTHCARE LTD","86900 - Other human health activities"
"50953","SOUTH ESSEX EMERGENCY DOCTORS SERVICE","86210 - General medical practice activities"
"50957","LGBT FOUNDATION LTD","86900 - Other human health activities"
"50963","COMMON PURPOSE CUSTOMISED LTD","85590 - Other education n.e.c."
"50965","CLINISYS SOLUTIONS LTD","62012 - Business and domestic software development"
"50967","SOUTHERNS OFFICE INTERIORS LTD","46650 - Wholesale of office furniture"
"50969","AMPHION HOME CARE NEL LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"50971","JULIAN HOUSING SUPPORT TRUST LTD","86900 - Other human health activities"
"50976","RIDGELAND PROPERTIES  LTD","41100 - Development of building projects"
"50977","ENABLE LAW PLYMOUTH","69102 - Solicitors"
"50978","PRIME COMMERCIAL PROPERTIES MANAGEMENT LTD","68320 - Management of real estate on a fee or contract basis"
"50979","WORKLIFE CO LTD","70229 - Management consultancy activities other than financial management"
"50983","EDWARD'S TRUST","86900 - Other human health activities"
"50985","SKILLS FOR PEOPLE","88100 - Social work activities without accommodation for the elderly and disabled"
"50986","PIONEERING CARE PARTNERSHIP","96090 - Other service activities n.e.c."
"50996","HOLY CROSS HOSPITAL","86101 - Hospital activities"
"51000","ST RAPHAELS HOSPICE","86101 - Hospital activities"
"51019","HOLYAA CROSSAA HOSPITAL","86101 - Hospital activities"
"51095","ST ELIZABETHS","86101 - Hospital activities"
"51118","ST ELIZABETH'S CENTRE","86101 - Hospital activities"
"51127","HARINGEY CITIZENS ADVICE BUREAUX","63990 - Other information service activities n.e.c."
"51129","LINCOLNSHIRE COMMUNITY AND VOLUNTARY SERVICE","86900 - Other human health activities"
"51134","CROFT CARE HOMES LTD","87100 - Residential nursing care facilities"
"51137","NOTTINGHAM CVS","82990 - Other business support service activities n.e.c."
"51140","BIRMINGHAM & SOLIHULL WOMENS AID","55900 - Other accommodation"
"51144","MIND BLMK","86900 - Other human health activities"
"51149","OPUS CARE LTD","86102 - Medical nursing home activities"
"51188","HUMAN SUPPORT GROUP LTD","86900 - Other human health activities"
"51193","LEVEL 3 COMMUNICATIONS UK LTD","61100 - Wired telecommunications activities"
"51194","MERIDIAN PRODUCTIVITY LIMITED","70229 - Management consultancy activities other than financial management"
"51195","SOUTHAMPTON VOLUNTARY SERVICES","94990 - Activities of other membership organizations n.e.c."
"51198","FARRINGTON CARE HOMES LTD","87100 - Residential nursing care facilities"
"51205","CAVENDISH CARE","87900 - Other residential care activities n.e.c."
"51208","DRIVE CARE HOMES LTD","87300 - Residential care activities for the elderly and disabled"
"51210","HILLCROFT NURSING HOMES","87100 - Residential nursing care facilities"
"51289","OXFORD COMPUTER CONSULTANTS LTD","82990 - Other business support service activities n.e.c."
"51297","ELMS CARE CENTRE","87300 - Residential care activities for the elderly and disabled"
"51302","SOLCOM LTD","62020 - Information technology consultancy activities"
"51303","SHAW HEALTHCARE (SPECIALIST SERVICES) LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"51304","WHITEFIELD HEALTH CENTRE","68209 - Other letting and operating of own or leased real estate"
"51347","HYNDBURN & RIBBLE VALLEY CVS","94990 - Activities of other membership organizations n.e.c."
"51359","ALPHA HEALTH CARE LTD","86900 - Other human health activities"
"51370","DURHAM COUNTY CARERS SUPPORT","63990 - Other information service activities n.e.c."
"51372","CONMED UK LTD","82990 - Other business support service activities n.e.c."
"51373","CBRE LTD","41100 - Development of building projects"
"51375","AGE UK HERTFORDSHIRE","88100 - Social work activities without accommodation for the elderly and disabled"
"51376","CARERS SUPPORT CENTRE","88100 - Social work activities without accommodation for the elderly and disabled"
"51398","GEORGE HARDWICK FOUNDATION","88100 - Social work activities without accommodation for the elderly and disabled"
"51456","COMMUNITY COUNCIL FOR SOMERSET","63990 - Other information service activities n.e.c."
"51464","BDS SOLUTIONS","62020 - Information technology consultancy activities"
"51466","BEECHFIELDS NURSING HOME LTD","86102 - Medical nursing home activities"
"51470","SUTTON MENTAL HEALTH FOUNDATION","86900 - Other human health activities"
"51482","EAST ANGLIAS CHILDRENS HOSPICES","86900 - Other human health activities"
"51484","EACH","86900 - Other human health activities"
"51548","CROSSROADS CARE CMM LTD","88990 - Other social work activities without accommodation n.e.c."
"51551","CROSSROADS CARE","88990 - Other social work activities without accommodation n.e.c."
"51589","CROSSROADS CARE CEMT LTD","88990 - Other social work activities without accommodation n.e.c."
"51605","COMMUNITY BARNET","94110 - Activities of business and employers membership organizations"
"51612","PAPYRUS PREVENTION OF YOUNG SUICIDE","88990 - Other social work activities without accommodation n.e.c."
