"","CompanyNumber","SICCode.SicText_1"
"69305","04710733","87100 - Residential nursing care facilities"
"69312","04711316","86900 - Other human health activities"
"69346","04713862","87100 - Residential nursing care facilities"
"69407","04714788","86900 - Other human health activities"
"69418","04715193","86210 - General medical practice activities"
"69419","04715323","94120 - Activities of professional membership organizations"
"69420","04716771","86900 - Other human health activities"
"69423","04717124","85590 - Other education n.e.c."
"69427","04717912","86900 - Other human health activities"
"69434","04723229","87300 - Residential care activities for the elderly and disabled"
"69435","04724733","86210 - General medical practice activities"
"69688","04730805","41201 - Construction of commercial buildings"
"69690","04731016","68209 - Other letting and operating of own or leased real estate"
"69710","04731807","86900 - Other human health activities"
"69783","04733478","86900 - Other human health activities"
"69785","04735561","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"69858","04739842","43390 - Other building completion and finishing"
"69859","04740781","87300 - Residential care activities for the elderly and disabled"
"69860","04742154","86210 - General medical practice activities"
"69868","04743106","87900 - Other residential care activities n.e.c."
"69875","04743148","86900 - Other human health activities"
"69876","04746696","85590 - Other education n.e.c."
"69918","04746710","86101 - Hospital activities"
"69928","04748924","8531 - Social work with accommodation"
"69929","04751616","87300 - Residential care activities for the elderly and disabled"
"69932","04755842","87100 - Residential nursing care facilities"
"69933","04756440","87100 - Residential nursing care facilities"
"69944","04757301","70229 - Management consultancy activities other than financial management"
"69953","04758924","62020 - Information technology consultancy activities"
"69963","04761703","26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
"69965","04762048","87900 - Other residential care activities n.e.c."
"69974","04763989","88990 - Other social work activities without accommodation n.e.c."
"69976","04764232","88910 - Child day-care activities"
"70081","04766994","86900 - Other human health activities"
"70098","04768329","78109 - Other activities of employment placement agencies"
"70122","04768866","87100 - Residential nursing care facilities"
"70129","04769232","88990 - Other social work activities without accommodation n.e.c."
"70130","04770971","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"70131","04771791","87100 - Residential nursing care facilities"
"70158","04777559","87100 - Residential nursing care facilities"
"70161","04777720","74990 - Non-trading company"
"70234","04782150","69201 - Accounting and auditing activities"
"70235","04793659","85421 - First-degree level higher education"
"70239","04796545","87300 - Residential care activities for the elderly and disabled"
"70253","04800410","87100 - Residential nursing care facilities"
"70256","04801217","86900 - Other human health activities"
"70260","04801836","62012 - Business and domestic software development"
"70262","04804681","55202 - Youth hostels"
"70265","04809130","43330 - Floor and wall covering"
"70266","04809606","85590 - Other education n.e.c."
"70268","04815434","74909 - Other professional, scientific and technical activities n.e.c."
"70283","04817441","87300 - Residential care activities for the elderly and disabled"
"70284","04819173","82990 - Other business support service activities n.e.c."
"70286","04822667","87300 - Residential care activities for the elderly and disabled"
"70287","04823110","82990 - Other business support service activities n.e.c."
"70353","04824698","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"70354","04826267","82990 - Other business support service activities n.e.c."
"70629","04827592","55900 - Other accommodation"
